name,rating,reviews,location,salery,interview,job_ava
DealShare,3.4,545,Internet | Bangalore / Bengaluru +43 other locations,2.4k,41,3
CSG International,3.7,544,IT Services & Consulting | Bangalore / Bengaluru +13 other locations,3.9k,56,2
Finolex Industries,3.6,544,Building Material | Pune +68 other locations,2.2k,46,1
TDS Lithium-Ion Battery,4.2,544,Electrical Equipment | Ahmedabad +15 other locations,1.9k,90,--
Capital Numbers Infotech,4.4,544,IT Services & Consulting | Kolkata +10 other locations,1.2k,44,33
United Colors of Benetton,4.4,543,Fashion & Textile | Gurgaon / Gurugram +69 other locations,1.3k,22,7
Revolut,2.5,543,FinTech | Bangalore / Bengaluru +22 other locations,2.3k,107,2
Axiscades,3.1,543,IT Services & Consulting | Bangalore / Bengaluru +11 other locations,3.6k,60,3
IDP Education Limited,3.6,543,EdTech | Chennai +48 other locations,2.4k,65,29
JSW Energy,4.1,542,Power | Mumbai +62 other locations,2.7k,44,--
WayCool Foods and Products,3.5,542,FMCG | Chennai +42 other locations,2.9k,42,--
Monte Carlo,4.1,542,Fashion & Textile | Ahmedabad +93 other locations,2.3k,29,--
Cashify,3.8,542,Other | Gurgaon / Gurugram +55 other locations,2.3k,48,3
Suroj Buildcon,4.2,542,Engineering & Construction | Pune +41 other locations,1.5k,30,20
Inspira Enterprise India Limited,3.6,542,IT Services & Consulting | Mumbai +33 other locations,3.3k,48,26
Dishman Carbogen Amcis,3.6,542,Ahmedabad +14 other locations,2k,34,15
Army Public School,4.0,542,Education & Training | New Delhi +89 other locations,1.1k,39,--
Hpl Electric & Power,3.7,541,Electrical Equipment | Gurgaon / Gurugram +63 other locations,2k,64,2
Magic Edtech,3.1,541,IT Services & Consulting | Noida +11 other locations,3.5k,59,--
Hire In Global,4.9,541,New Delhi +37 other locations,8,108,--
Schwing Stetter,3.9,541,Industrial Machinery | Chennai +46 other locations,2.3k,43,94
Toothsi,2.8,540,Internet | Mumbai +17 other locations,2.2k,64,5
Perficient,3.7,540,IT Services & Consulting | Chennai +11 other locations,4.1k,43,14
SOLAR INDUSTRIES INDIA,3.8,540,Defence & Aerospace | Nagpur +39 other locations,2.6k,67,4
Jindal Poly Films,3.6,540,Packaging | Nashik +15 other locations,2.4k,37,2
Hilton,4.2,540,Hospitality | Bangalore / Bengaluru +39 other locations,1.4k,25,244
Damco Solutions,3.8,540,IT Services & Consulting | Noida +23 other locations,2k,42,11
Vadilal Industries,4.1,540,FMCG | Ahmedabad +79 other locations,1.7k,34,8
Telenor,4.1,539,Telecom | Gurgaon / Gurugram +116 other locations,574,9,--
Cvent,3.3,539,Software Product | Gurgaon / Gurugram +7 other locations,4.2k,97,111
Dhani Healthcare,3.6,538,FinTech | Gurgaon / Gurugram +80 other locations,2.3k,59,--
Serum Institute of India,4.1,538,Biotechnology | Pune +21 other locations,3k,39,--
Gandhi Automations,3.9,538,Industrial Machinery | Mumbai +24 other locations,1.2k,37,15
CTS Consulting & Technical Support,3.7,538,Engineering & Construction | Chennai +31 other locations,6.8k,170,--
Courtyard by Marriott,4.1,537,Hospitality | Mumbai +40 other locations,1.1k,23,--
Wood Group,3.7,537,Engineering & Construction | Chennai +30 other locations,2.6k,64,14
Hamilton Housewares,3.9,537,Consumer Electronics & Appliances | Mumbai +45 other locations,2.4k,37,9
Accion Labs,3.4,537,IT Services & Consulting | Bangalore / Bengaluru +14 other locations,4.5k,77,37
Bharti Infratel,4.6,536,Telecom | Gurgaon / Gurugram +69 other locations,1.1k,6,--
Medlife,3.7,536,Internet | Bangalore / Bengaluru +28 other locations,2.1k,27,--
BEML,3.9,536,Industrial Machinery | Bangalore / Bengaluru +34 other locations,1.6k,26,--
Jayaswal Neco Industries,4.1,536,Iron & Steel | Raipur +29 other locations,2k,32,--
HLL Lifecare,3.7,535,Healthcare | Thiruvananthapuram +108 other locations,1.7k,44,10
Aster Dm Healthcare,3.6,535,Healthcare | Bangalore / Bengaluru +38 other locations,2.6k,50,45
PTC,4.2,535,Software Product | Pune +40 other locations,3.9k,67,79
IRB Infrastructure,3.9,535,Engineering & Construction | Mumbai +62 other locations,1.3k,24,27
Toyoda Gosei Minda,4.2,533,Auto Components | Neemrana +23 other locations,1.6k,30,--
IKEA,4.0,533,Retail | Bangalore / Bengaluru +23 other locations,2k,43,1
Genesys International Corporation,3.5,533,IT Services & Consulting | Mumbai +15 other locations,2.5k,21,10
Pathkind Diagnostics Private Limited,3.9,533,Healthcare | New Delhi +92 other locations,1.7k,49,16
Vedang Cellular Services,3.8,532,Telecom | Mumbai +63 other locations,1.6k,25,3
Vedanta Limited,3.7,533,Metals & Mining | Lanjigarh +50 other locations,2.5k,51,--
Utility Powertech,3.9,532,Power | Noida +92 other locations,1.7k,30,--
Jyothy Laboratories,4.2,532,FMCG | Mumbai +126 other locations,1.5k,27,2
Rane Engine Valve Limited,3.8,532,Auto Components | Chennai +16 other locations,1.9k,29,--
Lear Corporation,4.0,531,Auto Components | Pune +19 other locations,2.8k,23,11
PureSoftware,3.0,531,IT Services & Consulting | Noida +11 other locations,3.5k,63,56
NLC India Limited,4.4,531,Metals & Mining | Neyveli +24 other locations,1.1k,26,--
General Motors,4.2,530,Automobile | Pune +36 other locations,2.1k,34,6
Practo,3.0,530,Internet | Bangalore / Bengaluru +24 other locations,3k,78,7
Colt Technology Services,4.3,530,Hardware & Networking | Gurgaon / Gurugram +13 other locations,3.1k,24,2
DM Immigration Consultant,1.0,529,Bangalore / Bengaluru +3 other locations,23,--,--
Wissen Technology,3.7,529,IT Services & Consulting | Bangalore / Bengaluru +8 other locations,4.4k,175,57
Efs Facilities Services,3.7,529,Facility Management Services | New Delhi +56 other locations,1.3k,28,4
Heidelberg Cement,4.1,529,Building Material | Damoh +73 other locations,1.9k,34,1
Maharashtra State Electricity Distribution Company,4.3,528,Power | Pune +87 other locations,1.1k,22,--
Gayatri Projects,3.8,528,Engineering & Construction | Hyderabad / Secunderabad +68 other locations,1.8k,38,10
PayU Payments,3.4,528,FinTech | Gurgaon / Gurugram +22 other locations,4k,60,12
Baker Hughes,4.0,528,Oil & Gas | Bangalore / Bengaluru +37 other locations,3.9k,62,54
Sapiens,3.3,528,Software Product | Bangalore / Bengaluru +8 other locations,4.9k,65,18
Levi Strauss & Co.,4.3,527,Fashion & Textile | Bangalore / Bengaluru +80 other locations,1.9k,26,12
Vestige,4.3,526,Fitness & Wellness | New Delhi +111 other locations,1.4k,39,--
J K Fenner,3.9,527,Engineering & Construction | Chennai +52 other locations,1.9k,34,6
Unimoni,4.0,526,FinTech | Chennai +131 other locations,2.1k,17,4
Bharat Biotech International,3.2,526,Biotechnology | Hyderabad / Secunderabad +27 other locations,2k,59,3
CompuCom,3.8,525,IT Services & Consulting | Pune +7 other locations,3k,36,11
Anmol Industries,3.9,525,Food Processing | Kolkata +80 other locations,1.6k,58,--
Consulting Engineers Group,4.1,525,Engineering & Construction | Jaipur +65 other locations,1.5k,43,30
Infiniti Research,3.5,524,Bangalore / Bengaluru +7 other locations,1.7k,37,7
Innominds Software,3.3,524,IT Services & Consulting | Hyderabad / Secunderabad +7 other locations,4.4k,47,28
Crystal Crop Protection,3.8,524,Agro Chemicals | New Delhi +81 other locations,1.7k,23,--
bp,3.8,524,Oil & Gas | Pune +13 other locations,3.2k,77,7
APL Apollo Tubes,4.1,524,Iron & Steel | Noida +46 other locations,1.8k,44,7
Inox Wind,3.7,523,Power | Noida +41 other locations,1.7k,45,--
Congruex Asia Pacific,3.7,523,Engineering & Construction | Mohali +25 other locations,2.1k,63,14
Toyota Industries Engine India,4.3,523,Bangalore / Bengaluru +13 other locations,1.5k,30,--
Renault,4.2,522,Automobile | Chennai +142 other locations,1.8k,30,--
Blackrock,3.5,522,Financial Services | Gurgaon / Gurugram +17 other locations,5.8k,109,--
Transport Corporation Of India,3.8,520,Logistics | Gurgaon / Gurugram +78 other locations,1.8k,33,--
Quikr,3.5,520,Internet | Bangalore / Bengaluru +24 other locations,2.2k,33,15
Ascent HR Technologies Private Limited,3.6,520,Software Product | Bangalore / Bengaluru +14 other locations,1.7k,34,22
Paras Dairy,3.6,520,Food Processing | New Delhi +55 other locations,1.5k,26,2
Eli Lilly and Company,3.7,520,Pharma | Bangalore / Bengaluru +18 other locations,4k,78,64
Jubilant Agri and Consumer Products,3.9,519,Chemicals | Gurgaon / Gurugram +105 other locations,1.7k,35,--
Prochant,4.0,519,Analytics & KPO | Chennai +9 other locations,2.1k,65,46
OMICS International,2.6,519,Printing & Publishing | Hyderabad / Secunderabad +6 other locations,1.9k,25,--
Maxgen Technologies,4.6,519,IT Services & Consulting | Pune +7 other locations,1.1k,14,--
Action Tesa,3.9,519,Building Material | Sitarganj +55 other locations,1.2k,42,--
Applied Materials,3.8,518,Semiconductors | Bangalore / Bengaluru +11 other locations,4.3k,84,75
Marelli,3.6,518,Auto Components | Gurgaon / Gurugram +17 other locations,2.6k,43,1
Maini Precision Products,3.4,518,Auto Components | Bangalore / Bengaluru +11 other locations,2.8k,40,4
Foray Software,3.4,518,IT Services & Consulting | Hyderabad / Secunderabad +17 other locations,3.6k,38,32
Chaitanya India Fin Credit,4.0,517,NBFC | Bangalore / Bengaluru +151 other locations,1.4k,34,2
L & W Constructions,3.8,517,Engineering & Construction | Bangalore / Bengaluru +19 other locations,1.8k,27,2
Bajaj Consumer Care,3.8,516,FMCG | Mumbai +110 other locations,1.4k,32,12
ACTE,4.8,515,Education & Training | Chennai +10 other locations,96,9,--
Herbalife International,3.9,515,Healthcare | Bangalore / Bengaluru +83 other locations,2.5k,28,78
The Times of India,3.6,515,Media & Entertainment | New Delhi +53 other locations,2.7k,41,--
Solara Active Pharma Sciences,3.7,515,Pharma | Visakhapatnam +18 other locations,2.8k,43,--
Solara Active Pharma Sciences,3.7,515,Pharma | Visakhapatnam +18 other locations,2.8k,43,--
Dr. Reddy's Foundation,3.9,514,Non-Profit | Hyderabad / Secunderabad +85 other locations,1.7k,54,18
Hi Tech Gears,3.9,513,Auto Components | Bhiwadi +27 other locations,2.1k,29,--
Sigma Engineered Solutions,3.9,513,Industrial Machinery | Pune +12 other locations,2.2k,28,--
Pamac Finserve,3.3,513,Financial Services | Mumbai +59 other locations,1.6k,27,1
Kirloskar Ferrous Industries,3.7,513,Iron & Steel | Koppal +20 other locations,1.9k,29,2
InsuranceDekho,3.6,512,Internet | Gurgaon / Gurugram +73 other locations,1.9k,72,8
Cpf India,4.0,512,Food Processing | Bangalore / Bengaluru +57 other locations,1.6k,25,--
Mahendra NextWealth IT,3.4,512,IT Services & Consulting | Salem +23 other locations,1.7k,25,4
Voyants Solutions,3.8,512,Engineering & Construction | Gurgaon / Gurugram +84 other locations,1.6k,54,--
Hettich,3.8,512,Furniture & Furnishing | Mumbai +43 other locations,2.2k,36,14
CDK Global,3.8,512,IT Services & Consulting | Hyderabad / Secunderabad +7 other locations,3.4k,39,22
Empower,4.0,512,Financial Services | Bangalore / Bengaluru +12 other locations,3.7k,57,17
Pinnacle Infotech,3.4,511,IT Services & Consulting | Durgapur +17 other locations,2.6k,57,15
Nspira Management Services,3.8,511,Management Consulting | Hyderabad / Secunderabad +51 other locations,2.3k,32,38
Mrs Bector's Food Specialities,3.8,511,Food Processing | Greater Noida +75 other locations,1.7k,27,4
RadiSys,4.0,510,Telecom | Bangalore / Bengaluru +11 other locations,2.2k,47,--
Tracxn,3.0,510,Internet | Bangalore / Bengaluru +11 other locations,2.3k,109,78
Stock Holding Corporation of India,3.5,510,Financial Services | Mumbai +99 other locations,1.7k,31,--
MITS GLOBAL CONSULTING,4.6,510,Mumbai +12 other locations,825,36,--
BAXY,4.0,509,Bhiwadi +38 other locations,2k,22,--
RMC Readymix,3.7,509,Building Material | Mumbai +59 other locations,1.3k,42,5
EC-Council,4.2,509,EdTech | Hyderabad / Secunderabad +18 other locations,2.4k,49,17
Ge India Industrial,4.2,509,Industrial Machinery | Pune +22 other locations,2k,19,--
House Of Anita Dongre,4.1,509,Fashion & Textile | Mumbai +45 other locations,1.5k,17,1
AVIOM,4.0,508,NBFC | New Delhi +183 other locations,1.2k,30,1
Navin Fluorine International,3.8,508,Chemicals | Surat +17 other locations,2.5k,28,2
Carlsberg,4.0,508,Beverage | Gurgaon / Gurugram +63 other locations,1.8k,34,2
Prestige Group,4.3,508,Real Estate | Bangalore / Bengaluru +30 other locations,2.4k,42,5
Myk Laticrete,4.0,507,Building Material | Hyderabad / Secunderabad +77 other locations,1.9k,24,107
FiveS Digital,3.5,507,BPO | Jamshedpur +26 other locations,1.4k,52,1
Aurionpro Solutions,3.5,506,Software Product | Mumbai +45 other locations,3.2k,34,7
Virtual Employee,3.3,506,Recruitment | Noida +21 other locations,3k,49,1
BLK Super Speciality Hospital,4.0,506,Healthcare | New Delhi +14 other locations,1.4k,32,--
Sulzer,3.9,506,Industrial Machinery | Pune +23 other locations,2.5k,32,--
JoulestoWatts Business Solutions,3.0,506,IT Services & Consulting | Bangalore / Bengaluru +15 other locations,3k,31,2
Ziqitza Health Care,3.9,505,Healthcare | Mumbai +58 other locations,1.1k,23,--
DB Schenker,4.3,505,Logistics | Gurgaon / Gurugram +38 other locations,2.1k,21,--
BUSINESSNEXT,3.4,505,Software Product | Noida +9 other locations,3.7k,71,40
Allianz Services,4.2,505,Financial Services | Thiruvananthapuram +11 other locations,2.1k,30,19
Karvy Data Management Services,3.9,504,Analytics & KPO | Hyderabad / Secunderabad +79 other locations,2.2k,16,--
Yokohama,3.6,504,Auto Components | Bahadurgarh +41 other locations,2k,24,--
Systra Consulting,3.9,504,Engineering & Construction | New Delhi +39 other locations,1.5k,35,83
Finova Capital,3.9,504,NBFC | Jaipur +161 other locations,1.4k,24,--
Zolo,3.2,504,Internet | Bangalore / Bengaluru +23 other locations,2k,58,18
Andritz Hydro Location India,3.8,503,Industrial Machinery | Chennai +27 other locations,2.5k,33,13
Eicher Motors,4.0,503,Automobile | Indore +87 other locations,1.5k,41,--
Centum Learning,3.7,503,Education & Training | New Delhi +80 other locations,1.3k,26,12
Sandoz,3.9,503,Pharma | Hyderabad / Secunderabad +19 other locations,2.2k,22,--
Expleo Group,3.5,503,IT Services & Consulting | Pune +8 other locations,5.1k,45,21
Maxop Engineering Co.,4.2,503,Auto Components | Gurgaon / Gurugram +14 other locations,2.2k,39,6
Jaipur Rugs,4.3,502,Fashion & Textile | Jaipur +20 other locations,812,46,20
Mecon,3.9,502,Metals & Mining | Ranchi +47 other locations,1.7k,43,--
Alcon,3.7,502,Medical Equipment | Bangalore / Bengaluru +37 other locations,2.6k,40,60
Kidzee,3.9,502,EdTech | Kolkata +113 other locations,1.1k,23,--
JK Tech,3.6,502,IT Services & Consulting | Bangalore / Bengaluru +20 other locations,3.3k,36,9
Bharat Fritz Werner,3.9,502,Industrial Machinery | Bangalore / Bengaluru +18 other locations,2.3k,31,25
S P Singla Constructions,3.5,501,Engineering & Construction | Patna +56 other locations,1.5k,35,--
Kirloskar Pneumatic,4.0,501,Industrial Machinery | Pune +18 other locations,2.5k,36,2
Sterling,3.9,501,Healthcare | Mumbai +61 other locations,1k,34,1
RAK Ceramics,4.0,501,Building Material | Kakinada +54 other locations,1.6k,32,2
Offshore Infrastructures,4.2,501,Engineering & Construction | Mumbai +49 other locations,1.7k,20,--
Paramount Health Services Tpa,3.8,501,Insurance | Mumbai +36 other locations,2.2k,32,--
ATS Infrastructure,4.0,501,Real Estate | Noida +13 other locations,1.8k,30,5
Canon,3.9,500,Consumer Electronics & Appliances | Gurgaon / Gurugram +65 other locations,1.9k,22,5
Roop Polymers,4.1,500,Auto Components | Gurgaon / Gurugram +21 other locations,1.8k,26,--
HashedIn by Deloitte,4.1,500,IT Services & Consulting | Bangalore / Bengaluru +16 other locations,4.7k,133,11
Wabtec,3.9,499,Auto Components | Bangalore / Bengaluru +26 other locations,3.1k,50,3
CARE,4.2,499,Non-Profit | Patna +112 other locations,1.2k,40,--
Datamatics Business Solutions,3.4,499,Management Consulting | Mumbai +12 other locations,2.3k,42,16
UTL Solar,3.5,498,Power | New Delhi +67 other locations,1.6k,56,32
ABIS Exports,3.9,498,Food Processing | Rajnandgaon +98 other locations,1.7k,41,--
"DATAMARK, Inc.",3.5,497,BPO | Chennai +13 other locations,1.5k,30,22
Vakrangee,3.7,497,BPO | Mumbai +89 other locations,1.1k,9,1
Craftsman Automation,3.8,497,Industrial Machinery | Coimbatore +22 other locations,2.3k,23,--
Reliance Life Sciences,3.5,496,Clinical Research | Mumbai +33 other locations,2.5k,26,--
Celebi Aviation Holding,3.8,496,Aviation | Mumbai +15 other locations,901,29,--
AM Infoweb,4.0,496,BPO | Pune +8 other locations,1.2k,85,56
Mr Cooper,4.0,496,Financial Services | Chennai +10 other locations,3k,102,7
Future Lifestyle Fashion,4.2,495,Retail | Bangalore / Bengaluru +62 other locations,1.6k,8,--
GSPANN Technologies,4.1,495,IT Services & Consulting | Hyderabad / Secunderabad +9 other locations,3.3k,44,57
Groupm Media,3.8,495,Marketing & Advertising | Gurgaon / Gurugram +26 other locations,3.7k,38,--
Scaler Academy,3.5,495,EdTech | Bangalore / Bengaluru +8 other locations,2.2k,83,6
Capital Business Systems,3.6,495,IT Services & Consulting | New Delhi +102 other locations,1.5k,26,10
Western Refrigeration,3.8,496,Industrial Machinery | Vapi +38 other locations,2.1k,38,5
Zycus Infotech,2.7,495,Software Product | Mumbai +9 other locations,3.2k,73,52
Castrol,4.3,495,Petrochemicals | Mumbai +115 other locations,1.9k,23,--
Exicom,4.1,495,Semiconductors | Gurgaon / Gurugram +26 other locations,2.4k,41,16
Insuremile,4.8,494,Internet | Bangalore / Bengaluru +12 other locations,60,76,1
RuralShores,3.8,494,BPO | Bangalore / Bengaluru +45 other locations,1.1k,21,--
Vivanta by Taj,4.2,494,Hospitality | New Delhi +43 other locations,981,27,--
Kellogg Brown and Root,4.1,494,IT Services & Consulting | Chennai +34 other locations,2k,40,54
ArcelorMittal,4.1,493,Iron & Steel | Surat +47 other locations,2.4k,36,1
BOBCARD Ltd.,4.3,493,Financial Services | Mumbai +102 other locations,1.3k,27,61
Emaar India Limited,3.6,492,Real Estate | Gurgaon / Gurugram +17 other locations,2.3k,27,4
Cuemath,3.6,492,EdTech | Bangalore / Bengaluru +22 other locations,1.8k,48,33
Wellness Forever Medicare,3.9,492,Retail | Mumbai +40 other locations,1.6k,54,3
Fenesta Building Systems,4.1,492,Building Material | Gurgaon / Gurugram +68 other locations,1.8k,34,19
Coats,3.8,492,Fashion & Textile | Bangalore / Bengaluru +51 other locations,1.8k,24,41
Harman Finochem,3.6,492,Pharma | Aurangabad +14 other locations,2.7k,42,16
N.C.L. Industries,3.8,491,Building Material | Hyderabad / Secunderabad +64 other locations,1.6k,37,66
Mobile Programming,2.9,490,IT Services & Consulting | Bangalore / Bengaluru +23 other locations,3.5k,75,341
Orra Fine Jewellery,3.4,490,Retail | Mumbai +50 other locations,1.6k,43,32
HCL Healthcare,4.6,490,Healthcare | Noida +33 other locations,884,88,18
Kiya.ai,3.6,490,Emerging Technologies | Mumbai +17 other locations,4k,50,171
LendingKart,3.4,490,NBFC | Ahmedabad +42 other locations,2.5k,36,9
Sterling Oil Exploration & Energy Production,3.7,490,Oil & Gas | Lagos +19 other locations,1.1k,61,--
HUDL,3.2,490,Software Product | Mumbai +15 other locations,1.7k,60,--
BharatMatrimony.com,3.8,489,Internet | Chennai +30 other locations,1.4k,23,--
Anudip Foundation,3.8,489,Non-Profit | Kolkata +60 other locations,1.2k,156,30
Ministry of Defence,4.3,489,Government | New Delhi +73 other locations,1.8k,16,--
Maharashtra Seamless,3.3,489,Building Material | Mumbai +25 other locations,1.9k,48,1
Chaayos,3.4,489,Retail | New Delhi +21 other locations,1.5k,36,14
Bharat Gears,4.0,488,Auto Components | Faridabad +23 other locations,2k,25,--
Trimax IT Infrastructure Services,3.4,488,IT Services & Consulting | Mumbai +71 other locations,1.1k,13,--
Saud Bahwan Group,3.4,487,Automobile | Muscat +25 other locations,978,12,--
Amar Ujala,4.1,487,Printing & Publishing | Noida +49 other locations,1.7k,20,2
QSpiders,3.7,487,Education & Training | Bangalore / Bengaluru +25 other locations,1.6k,88,15
Wockhardt Hospital,4.0,487,Healthcare | Mumbai +27 other locations,1.6k,22,29
Legrand,3.7,487,Electrical Equipment | Mumbai +57 other locations,2.1k,24,6
Metriqe Solutions,4.0,487,BPO | Chennai +5 other locations,1.2k,25,7
Legrand,3.7,487,Electrical Equipment | Mumbai +57 other locations,2.1k,24,6
Webskitters,4.1,487,IT Services & Consulting | Kolkata +4 other locations,742,18,5
Williams Lea,3.6,487,BPO | Chennai +18 other locations,3k,47,14
ExxonMobil,3.8,486,Oil & Gas | Bangalore / Bengaluru +37 other locations,3.5k,77,316
Hero Cycles,3.3,486,Automobile | Ludhiana +46 other locations,1.8k,50,5
Go First,3.8,486,Aviation | Mumbai +32 other locations,2k,50,--
HealthifyMe,2.8,486,Internet | Bangalore / Bengaluru +17 other locations,1.6k,50,3
FMC Corporation,3.9,486,Agro Chemicals | Bharuch +110 other locations,1.7k,38,2
Satyam Auto Components,4.0,486,Auto Components | Gurgaon / Gurugram +25 other locations,2.2k,33,--
Dusters Total Solutions Services,3.8,486,Facility Management Services | Bangalore / Bengaluru +58 other locations,1.5k,20,1
Macawber Beekay,4.2,486,Industrial Machinery | Noida +55 other locations,1.6k,17,25
Iron Mountain Inc,3.7,485,IT Services & Consulting | Bangalore / Bengaluru +41 other locations,2.8k,27,9
Cairn Energy,3.6,485,Oil & Gas | Barmer +28 other locations,2.8k,33,--
Vimta Labs,3.5,484,Clinical Research | Hyderabad / Secunderabad +28 other locations,2k,38,3
SIS Prosegur Holdings,3.5,484,Law Enforcement & Security | New Delhi +84 other locations,1.3k,15,6
The Saraswat Co-operative Bank,3.3,484,Banking | Mumbai +34 other locations,2.5k,25,2
Titan Engineering & Automation,3.8,484,Industrial Automation | Hosur +14 other locations,2.4k,36,3
Kauvery Hospital,4.0,484,Healthcare | Chennai +19 other locations,2k,34,11
Ralson Tyres Limited,3.6,484,Auto Components | Ludhiana +49 other locations,2k,42,11
V.S.T Tillers Tractors,3.6,483,Industrial Machinery | Bangalore / Bengaluru +54 other locations,1.7k,39,3
Fena,4.1,483,FMCG | New Delhi +79 other locations,1.4k,28,7
Macquarie Group,3.3,483,Financial Services | Gurgaon / Gurugram +16 other locations,4.4k,47,--
Allianz Partners,3.7,483,Insurance | Gurgaon / Gurugram +16 other locations,2.4k,37,--
Uttar Pradesh Power Corporation,4.0,483,Power | Lucknow +87 other locations,1.2k,9,--
Medikabazaar,4.4,482,Medical Equipment | Mumbai +31 other locations,894,13,10
Wow Momo Foods,3.5,482,FMCG | Kolkata +48 other locations,1.7k,43,17
Sadbhav Engineering,4.3,481,Engineering & Construction | Ahmedabad +66 other locations,1.3k,10,--
Nelito System,3.3,480,IT Services & Consulting | Mumbai +41 other locations,2.5k,27,15
Nivea,4.1,480,Beauty & Personal Care | Mumbai +66 other locations,1.7k,28,16
AT&T,3.9,480,Telecom | Bangalore / Bengaluru +17 other locations,4.2k,63,131
Hafele,4.0,480,Furniture & Furnishing | Mumbai +44 other locations,2.1k,29,2
Emerson Electric Co.,4.0,480,IT Services & Consulting | Pune +24 other locations,3.1k,55,280
Propertypistol Realty,3.5,479,Internet | Mumbai +25 other locations,2k,61,26
Ivrcl Infrastructures & Projects,4.1,478,Engineering & Construction | Hyderabad / Secunderabad +53 other locations,818,9,16
Pepperfry,3.2,478,Furniture & Furnishing | Mumbai +36 other locations,1.9k,33,--
Enco Engineers Combine,3.5,478,Auto Components | Gurgaon / Gurugram +16 other locations,1.5k,23,6
Micron Electricals,4.0,478,Engineering & Construction | Bangalore / Bengaluru +17 other locations,2.2k,37,2
Voltech,3.5,478,Electrical Equipment | Chennai +42 other locations,1.6k,33,--
Country Delight,3.9,477,Food Processing | Gurgaon / Gurugram +34 other locations,2.1k,38,4
NJ India Invest,3.7,477,Financial Services | Surat +79 other locations,974,52,39
DFM Foods,4.0,477,FMCG | New Delhi +72 other locations,1.6k,36,8
Hindusthan National Glass,3.7,476,Packaging | Kolkata +20 other locations,1.9k,32,--
Rakuten,3.5,476,IT Services & Consulting | Bangalore / Bengaluru +10 other locations,5k,92,3
Regalix,2.8,475,Marketing & Advertising | Hyderabad / Secunderabad +7 other locations,2.6k,54,58
FinThrive,3.6,475,Analytics & KPO | Chennai +7 other locations,1.4k,21,1
Innovaccer,3.5,474,Software Product | Noida +8 other locations,3.2k,90,124
LearningMate Solutions,3.2,474,EdTech | Mumbai +12 other locations,3.4k,46,16
Suprajit Engineering,3.9,474,Auto Components | Bangalore / Bengaluru +37 other locations,2.3k,35,6
Apitoria Pharma,4.3,474,Pharma | Hyderabad / Secunderabad +12 other locations,586,32,13
Pace Setters Business Solutions,3.4,474,BPO | Mumbai +22 other locations,1.2k,22,3
iNurture Education Solutions,2.5,473,EdTech | Bangalore / Bengaluru +39 other locations,1.4k,44,--
Value Point Systems,3.5,473,IT Services & Consulting | Bangalore / Bengaluru +43 other locations,2.1k,27,15
Poorvika Mobiles,3.9,473,Retail | Chennai +57 other locations,1.5k,30,--
Galaxy Surfactants,3.8,472,Chemicals | Mumbai +25 other locations,1.8k,27,9
Brigade Group,4.0,472,Real Estate | Bangalore / Bengaluru +10 other locations,2.4k,39,21
Metro Group of Hospitals,3.8,472,Healthcare | New Delhi +29 other locations,1.2k,14,53
Lotus Herbals Private Limited,4.1,472,Beauty & Personal Care | New Delhi +67 other locations,1.4k,44,3
Tuaman Engineering,4.2,472,Engineering & Construction | Kolkata +35 other locations,1.5k,64,--
Indiafilings,4.4,472,Financial Services | Chennai +10 other locations,954,138,9
QHTalbros,3.7,471,Auto Components | Gurgaon / Gurugram +26 other locations,1.3k,18,--
Cadbury,4.3,471,Food Processing | Mumbai +108 other locations,918,27,--
Indecomm Global Services,3.9,471,IT Services & Consulting | Bangalore / Bengaluru +13 other locations,2.6k,25,20
Saudi Binladin Group,4.1,471,Engineering & Construction | Jeddah +32 other locations,716,32,1
Metalman Auto,3.9,471,Auto Components | Aurangabad +19 other locations,1.8k,23,7
Varuna Integrated Logistics,3.7,471,Logistics | Gurgaon / Gurugram +53 other locations,1.6k,36,344
Tradeshala,4.5,470,Education & Training | Bangalore / Bengaluru +7 other locations,30,93,--
PEGATRON,3.8,470,Electronics Manufacturing | Chennai +12 other locations,2k,27,--
Alight Solutions,3.4,470,IT Services & Consulting | Kochi +14 other locations,2.5k,30,76
Sanmina Sci,4.1,470,Electronics Manufacturing | Chennai +14 other locations,2.5k,33,32
Deloitte Digital,3.8,469,IT Services & Consulting | Bangalore / Bengaluru +25 other locations,3k,59,--
My Home Constructions,4.3,469,Real Estate | Hyderabad / Secunderabad +18 other locations,2k,31,3
Great Learning,3.6,469,EdTech | Bangalore / Bengaluru +12 other locations,3.5k,67,35
Nippon Life India Asset Management,4.4,469,Financial Services | Mumbai +139 other locations,1.5k,22,107
Xerox,3.8,468,Printing & Publishing | Bangalore / Bengaluru +34 other locations,2k,23,--
RapiPay,3.7,468,FinTech | Noida +100 other locations,1.6k,36,1
Maersk Line,4.0,468,Logistics | Pune +27 other locations,2.3k,32,--
Techwave Consulting,3.7,467,IT Services & Consulting | Hyderabad / Secunderabad +4 other locations,3.5k,39,36
OutworX,3.5,466,IT Services & Consulting | Pune +39 other locations,2k,32,451
Ambit Finvest,3.9,467,NBFC | Mumbai +98 other locations,1.7k,22,14
Siemens Healthineers,4.0,466,Healthcare | Bangalore / Bengaluru +16 other locations,3.8k,66,--
Rusan Pharma,3.5,466,Pharma | Dehradun +24 other locations,1.8k,21,8
Spectrum Talent Management,3.5,466,Recruitment | Noida +75 other locations,1.8k,33,1
