name,rating,reviews,location,salery,interview,job_ava
UST,3.7,5.1k,IT Services & Consulting | Bangalore / Bengaluru +48 other locations,38.3k,561,82
Ashok Leyland,4.1,5.1k,Automobile | Chennai +237 other locations,18.2k,295,--
Manappuram Finance,3.9,5.1k,NBFC | Bangalore / Bengaluru +606 other locations,8.9k,195,14
Cyient,3.6,5.1k,IT Services & Consulting | Hyderabad / Secunderabad +43 other locations,26.9k,314,89
Hero MotoCorp,4.0,5k,Automobile | Gurgaon / Gurugram +351 other locations,15.4k,385,--
PolicyBazaar,3.7,4.9k,Internet | Gurgaon / Gurugram +129 other locations,16.4k,559,672
Swiggy,3.7,4.9k,Internet | Bangalore / Bengaluru +222 other locations,21.7k,512,223
JustDial,3.5,4.8k,Internet | Noida +214 other locations,15.2k,371,57
SBI Cards & Payment Services,3.7,4.8k,Financial Services | Gurgaon / Gurugram +420 other locations,16.2k,277,150
BNY,3.8,4.8k,Financial Services | Pune +24 other locations,29.9k,377,102
Kalpataru Projects International,4.1,4.8k,Engineering & Construction | Mumbai +301 other locations,13.4k,302,--
IQVIA,3.8,4.7k,Clinical Research | Bangalore / Bengaluru +61 other locations,29.6k,515,25
Eviden,3.6,4.7k,IT Services & Consulting | Pune +36 other locations,28.9k,311,52
vivo,4.1,4.7k,Consumer Electronics & Appliances | Noida +403 other locations,12.6k,218,5
CBRE,4.1,4.7k,Real Estate | Hyderabad / Secunderabad +89 other locations,18k,322,32
Atos,3.8,4.7k,IT Services & Consulting | Pune +48 other locations,33.5k,401,84
TVS Motor,3.9,4.6k,Automobile | Hosur +330 other locations,15.2k,364,66
Persistent Systems,3.6,4.6k,IT Services & Consulting | Pune +41 other locations,42k,676,266
NTT Data,3.8,4.6k,IT Services & Consulting | Bangalore / Bengaluru +75 other locations,33.5k,690,16
SBI Life Insurance Company,3.7,4.6k,Insurance | Mumbai +623 other locations,11.2k,281,6
Nagarro,3.9,4.6k,IT Services & Consulting | Gurgaon / Gurugram +47 other locations,30.9k,817,208
State Bank of India,3.9,4.5k,Banking | Mumbai +584 other locations,11k,292,6
Nagarjuna Construction Company,4.1,4.5k,Engineering & Construction | Hyderabad / Secunderabad +275 other locations,11.7k,384,19
Schneider Electric,4.1,4.5k,Industrial Automation | Bangalore / Bengaluru +117 other locations,23.5k,414,60
Amdocs,3.7,4.5k,Software Product | Pune +22 other locations,36.6k,548,55
Home Credit Finance,4.0,4.5k,NBFC | Gurgaon / Gurugram +131 other locations,9.5k,135,137
Ecom Express,3.9,4.5k,Logistics | Gurgaon / Gurugram +733 other locations,9.8k,248,--
JBM Group,3.9,4.4k,Auto Components | Gurgaon / Gurugram +106 other locations,13.5k,324,48
OPPO,3.9,4.3k,Consumer Electronics & Appliances | Greater Noida +398 other locations,12k,242,8
KEC International,4.0,4.3k,Engineering & Construction | Mumbai +303 other locations,12.6k,376,13
Bosch,4.1,4.3k,Auto Components | Bangalore / Bengaluru +121 other locations,20.2k,362,142
Hewlett Packard Enterprise,4.1,4.3k,IT Services & Consulting | Bangalore / Bengaluru +100 other locations,26.3k,255,97
Piramal Capital Housing Finance,4.2,4.3k,NBFC | Mumbai +374 other locations,9.4k,222,4
EY Global Delivery Services ( EY GDS),3.5,4.3k,Accounting & Auditing | Bangalore / Bengaluru +53 other locations,43.7k,844,48
Dell,3.8,4.3k,Consumer Electronics & Appliances | Bangalore / Bengaluru +114 other locations,28.2k,414,20
ITC Infotech,3.7,4.3k,IT Services & Consulting | Bangalore / Bengaluru +66 other locations,28.7k,397,93
Mahindra Logistics,3.7,4.3k,Logistics | Mumbai +231 other locations,13k,236,6
Varun Beverages,3.9,4.2k,Beverage | New Delhi +351 other locations,11.7k,309,62
Aditya Birla Fashion and Retail,4.1,4.2k,Fashion & Textile | Bangalore / Bengaluru +274 other locations,12.1k,252,79
Randstad,3.7,4.1k,Recruitment | Hyderabad / Secunderabad +330 other locations,15.5k,301,5
CARS24,3.5,4.1k,Internet | Gurgaon / Gurugram +169 other locations,15.1k,386,72
Deutsche Bank,3.9,4.1k,Banking | Pune +42 other locations,34.6k,406,1.3k
L&T Finance,3.9,4.1k,NBFC | Mumbai +582 other locations,11.4k,200,--
Hyundai Motor India Limited,4.2,4.1k,Automobile | Chennai +277 other locations,13.3k,309,3
R1 RCM,3.8,4.1k,BPO | New Delhi +43 other locations,20.2k,341,546
Havells,3.9,4.1k,Electrical Equipment | Noida +238 other locations,14.8k,261,32
Intas Pharmaceuticals,4.1,4k,Pharma | Ahmedabad +141 other locations,16.8k,245,54
